" is required."," wird benötigt."
"Sendcloud | The Number 1 Shipping Tool | Contact ","Sendcloud | Das Versandwerkzeug Nr. 1 | Kontakt "
"Sendcloud checkout data missing","Sendcloud checkout data missing"
"SendCloud Magento module developed by","SendCloud Magento-Modul, entwickelt von"
"Sendcloud service point","Sendcloud-Servicepunkt"
"Service Point","Servicestelle"
"Service Point must be selected before order purchase. Please return to shipping and select service point.","Der Service Point muss vor dem Kauf ausgewählt werden. Bitte kehre zum Versand zurück und wähle den Service Point aus."
"Ship to Applicable Countries","Versenden Sie in die zutreffenden Länder"
"Ship to Specific Countries","In bestimmte Länder versenden"
"Ship To:","Ausliefern:"
"Shipment History","Sendungshistorie"
"Shipping","Versand"
"Shipping Address","Lieferanschrift"
"Shipping and Handling Information","Informationen zu Versand und Handhabung"
"Shipping and Tracking Information","Versand- und Tracking-Informationen"
"Shipping Info","Versandinformation"
"Shipping Method","Versandart"
"Shipping Method:","Versandart:"
"Show Method if Not Applicable","Methode anzeigen, falls nicht zutreffend"
"Sorry, this service point is no longer available.","Tut uns Leid, dieser Paketshop ist nicht mehr verfügbar."
"Sorry, we were unable to record your selected service point. Please try again.","Entschuldigen Sie bitte, aber wir können den ausgewählten Paketshop nicht erfassen. Bitte versuchen Sie es erneut."
"Sort Order","Sortierreihenfolge"
"Sun","So."
"Sunday","Sonntag"
"Temporarily unavailable","Vorübergehend nicht verfügbar"
"Thank you for your order from %store_name. ","Vielen Dank für deine Bestellung bei %store_name."
"The order was placed using %1.","Die Bestellung wurde mit %1 aufgegeben."
"This feature is not available in Global view. To access it, please select a store view.","This feature is not available in Global view. To access it, please select a store view."
"Thu","Do."
"Thursday","Donnerstag"
"Title","Titel"
"Toggle list","Liste umschalten"
"Toggle map","Karte umschalten"
"Total Shipping Charges","Versandkosten insgesamt"
"Track Order","Versandverfolgung"
"Track this shipment","Verfolgen Sie diese Sendung"
"Tue","Di."
"Tuesday","Dienstag"
"View opening times","Öffnungszeiten ansehen"
"We allow global connection to Sendcloud for legacy purposes. To use new delivery methods such as nominated day or embedded service points, please switch to store view and connect it to Sendcloud. Please be aware if you keep both global and store view connection to Sendcloud, you may have double orders for that store.","We allow global connection to Sendcloud for legacy purposes. To use new delivery methods such as nominated day or embedded service points, please switch to store view and connect it to Sendcloud. Please be aware if you keep both global and store view connection to Sendcloud, you may have double orders for that store."
"We couldn’t display this delivery option. Choose another option to continue.","Wir konnten diese Lieferoption nicht anzeigen. Wähle eine andere Option, um fortzufahren."
"Wed","Mi."
"Wednesday","Mittwoch"
"You can check the status of your order by <a href='%account_url'>logging into your account</a>.","Du kannst den Status deiner Bestellung überprüfen, indem du dich <a href='%account_url'>in dein Konto einloggst</a>."
"Your %store_name order confirmation","Deine %store_name Bestellbestätigung"
"Your %store_name order has shipped ","Deine %store_name Bestellung wurde versandt"
"Your Order <span class='no-link'>#%increment_id</span>","Deine Bestellung <span class='no-link'>#%increment_id</span>"
"Your Shipment #%shipment_id for Order #%order_id","Deine Sendung #%shipment_id für Bestellung #%order_id"
"Your shipping confirmation is below. Thank you again for your business.","Ihre Versandbestätigung unter. Nochmals vielen Dank für Ihr Geschäft."
